,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
GS,0.1057831760206528,-0.093534248264647,0.02655835272325226,-0.07391691380749708,-0.02194896455815717,-0.014451001129262002,0.08391173542037476,0.034097986755216456,-0.015364429619978491,-0.016674069364129757
PM,0.07677306530345124,0.058994067203484525,-0.07075081778683644,0.025549237280255405,-0.02598612550921695,-0.06759992496061111,-0.022802132310257718,0.10176671167087845,0.1371609861720304,-0.20181241368032315
RTX,0.09367974201673882,-0.03901937660753964,-0.07631834221027457,0.05683730549103169,0.13175217435828662,-0.03981688800799486,-0.03624598152934224,-0.04331277194119545,-0.06126733031361582,-0.1866588568366676
ABT,0.07776477982327863,0.10840291004350538,0.06311647700547394,0.011939755715651427,-0.04161502451110601,-0.09549794081990108,0.09536266072004661,-0.10355514953857504,0.02768535531942017,0.049578395540648294
MCD,0.0877642547782292,0.06130568700228533,-0.0009275047491412124,0.020587495855784833,0.1519429712649534,-0.08808603121927774,-0.07530897425692512,0.04217549572781784,0.19086151792172523,-0.05749993355510635
PEP,0.08473741155605441,0.1545146353165868,-0.007991121047560217,0.02948070330637412,-0.05115913472841726,-0.03326152752514074,-0.029309955282869577,0.14533520770922373,0.09043582699524108,-0.018749215665471764
INTC,0.06643627716822915,-0.015772112868389008,0.1328170532819883,0.056709077239805214,-0.03359829434553412,0.06079433398763226,0.2011253945547275,0.04786837150219697,-0.0033265321273192807,-0.06521887428484217
LIN,0.10058199008581893,0.021292901364918543,0.07085007538076774,0.02919036519863089,0.06212303692831371,-0.04269033972280435,-0.014628618874565654,-0.0368282696557605,-0.06066554568202946,0.023580975040200597
C,0.10696763185246662,-0.11066108519936799,-0.027199371148970152,-0.06493720207255897,-0.021657649185928225,-0.026316937239700775,0.07416739237166332,0.03777374275989771,0.05906165366142644,-0.03207657285859494
AMGN,0.06817423955208203,0.0866754498935766,0.02774498459611899,0.07985683922892753,-0.19511411370764004,-0.10280815226841385,0.10035876462326696,-0.149638230506781,0.017903526758108905,-0.014117862928908508
T,0.07758775983003979,0.050231483009547134,-0.10703455957132359,-0.03998681350668208,-0.0905428480774913,-0.004295312500248692,0.018659964331085348,0.05501816366016605,0.014467944000483585,-0.19732540364820456
QCOM,0.07125961728749897,-0.039783665543043314,0.20107802376973488,0.05380687210832847,-0.005988400358731867,0.05762263911994521,0.15982386417687136,0.08599756897532539,0.0846339407930601,-0.03393612940859245
NEE,0.0748154029564104,0.13054272361186744,-0.032068402902409414,-0.019277244357039945,0.09236807631914558,0.1767664818613736,0.08048666400428786,-0.062491206718666134,0.10535482509369636,0.05894283894695711
VZ,0.06589139650466591,0.09368421930014978,-0.0869525965085099,-0.01459245015471017,-0.12473784472673967,0.0111697134995966,-0.007712295669129658,0.04161282170716172,0.04241480723068033,-0.12802477305059587
SCHW,0.08785916359238898,-0.08406770952057387,-0.014273781409559158,-0.10593700380611623,-0.06105704263770769,-0.031894813059131104,0.07245610563297201,0.07183037234811003,-0.10291496758114305,-0.0005332113945457423
BLK,0.10767046883750214,-0.01367654709849805,0.1060117274804004,-0.046028242749557934,0.004892593645437853,0.043732846472950726,0.057022532559600915,0.003539813044434486,0.039542400377580625,-0.006113521072742302
GILD,0.05513177595032377,0.07460105501751046,0.004902775491420701,0.029359392554182986,-0.21479064801716832,-0.1129734330133679,0.06945605945749328,-0.07696224833388435,-0.03174349420410368,-0.0022448318303907996
TXN,0.0865687685857662,-0.019305437321652377,0.18033828553546452,0.0523003033006758,-0.04553360566608108,0.0670808375592888,0.14781332654564,0.0349787309678609,0.03658008750514492,-0.01596715567525961
SPGI,0.09407190062212287,0.036515763029196166,0.11254774379157391,0.019567707016736748,0.14340621662330952,-0.053628519988735475,0.03638226928571172,-0.012507023354971234,0.1106385172807689,0.05288220466254938
PFE,0.06331536412244494,0.07443833023728026,-0.010044164872954339,0.0718450468265733,-0.20002416908557333,-0.09154603021421062,0.0700226693904572,-0.22760160244839736,0.030644077366984945,-0.050880740648882365
UNP,0.0992458967112202,-0.025929687596173624,0.03396565251533352,0.020431735761862316,0.026999706309707442,0.02310024338007465,-0.08431779846348658,-0.03228584934151186,0.03691557436580275,-0.018990494108288847
LOW,0.09007146503304883,0.0146800848235533,0.1363945311460405,-0.007732312745694847,0.0651210083506061,0.046711160793378885,-0.12865395615441177,-0.015701198202160403,0.22518241063866118,-0.032879481482502415
MDT,0.0926217241421491,0.02537687665451477,-0.02578812769793798,0.02207009780939933,0.04406079895073878,-0.07237912343739605,-0.0025140446442750678,-0.13008090418255344,0.16671288236096204,-0.023981182318246072
